
Nombre,Ciudad,Dirección,Teléfono,Correo,Especialidades
Centro Médico Vida - Matriz El Batán,Quito,Av. 6 de Diciembre n40-34 y Gaspar de Villarroel,(+593) 3814 250 / 099 507 8804,info@cendiavia.com.ec,"[""Medicina general"", ""Especialidades múltiples""]"
Centro Médico Vida - Villaflora,Quito (Villaflora),Núñez de Balboa Oe1-29 y Francisco Gómez,(+593) 22669 800 / 096 259 9354,info@cmvidasur.com.ec,"[""Medicina general"", ""Especialidades múltiples""]"
Inter-Medikum Centro de Diagnóstico,Quito,"Av. Mariana de Jesús Oe7-02 y Nuño de Valderrama, Edificio CITIMED, Piso 4, Consultorio 461",099 859 8632,,"[""Resonancia magnética"", ""Ecografía"", ""Tomografía"", ""Intervencionismo""]"
SIME Centros Médicos,Quito y Manta,Quito y Manta (varias ubicaciones),(02) 501-9400,info.comunicacion@sime.com.ec,"[""Especialidades múltiples"", ""Unidad quirúrgica"", ""Diálisis""]"
Trinidad Centro Médico de Especialidades,Quito,Av. Alonso de Angulo OE2-544 y Lauro Guerrero,099 8070 487 / (02) 311 3445,trinidadcentromedico1@gmail.com,"[""Otorrinolaringología"", ""Cardiología"", ""Gastroenterología"", ""Otras especialidades""]"
Corporación Médica Monte Sinaí,"Cuenca, Azuay",Av. Miguel Cordero 6-111 y Av. Solano,+593 7 288 5595 / +593 7 370 4695 / +593 7 370 2770 / +593 7 370 0390,info@hospitalmontesinai.org,"[""Hospital"", ""Servicios médicos integrales""]"
Fundación Nahím Isaías - Centro Médico Integral (Milagro),Milagro,Av. Vargas Torres y García Moreno,+593 04 271 3710 / +593 96 762 1465,,"[""Alergología"", ""Cardiología"", ""Dermatología"", ""Endocrinología"", ""Flebología"", ""Gastroenterología"", ""Geriatría"", ""Gastropediatría"", ""Ginecología"", ""Mastología"", ""Medicina general"", ""Medicina interna"", ""Nefrología (adulto)"", ""Nefrología pediátrica"", ""Neumología"", ""Neurología"", ""Nutrición y dietética"", ""Odontología"", ""Oftalmología"", ""Óptica – optometría"", ""Otorrinolaringología"", ""Pediatría"", ""Podología"", ""Proctología"", ""Psicología"", ""Psicopedagogía"", ""Psiquiatría"", ""Reumatología"", ""Terapia de lenguaje"", ""Terapia respiratoria"", ""Terapia física"", ""Traumatología"", ""Urología"", ""Laboratorio"", ""Rayos X"", ""Ecografía""]"
Centro Médico Cruz Roja (Manta),Manta,"Barrio Córdova, Av. Flavio Reyes entre Av. 14 y Av. 15 (Diagonal a Fritada Imbabureña)",0998292344 / 1800 009 009 / 02 2447641 ext.114-208,info@centrosmedicoscruzroja.com.ec,"[""Imagenología"", ""Servicios especiales"", ""Laboratorio""]"
Centro Médico Mantamed,Manta,Calle 13 y Avenida 17,0987913781 / 0998042689,info@mantamed.com.ec,"[""Alta especialidad"", ""Diagnóstico"", ""Laboratorio clínico"", ""Odontología""]"
Centro Médico Luis Vernaza (Babahoyo),Babahoyo,Av. Enrique Ponce Luque (Dentro del Centro Comercial Paseo Shopping Babahoyo),0959414238,,"[""Consultas básicas"", ""Consultas de especialidad"", ""Laboratorio"", ""Imagenología""]"
Qrar Centro Médico de Especialidades (Salinas),Salinas,"Av. Carlos Espinoza Larrea (junto al canal de TV Brisa TV), parroquia José Luis Tamayo, Salinas, Santa Elena",04 2930090 / 0996770150 / 0993410493,info@qrar.com.ec; qrarmed@gmail.com,"[""Alergología e Inmunología"", ""Cardiología"", ""Cirugía general"", ""Dermatología"", ""Endocrinología"", ""Gastroenterología"", ""Geriatría"", ""Ginecología y Obstetricia"", ""Hematología"", ""Medicina alternativa"", ""Medicina general"", ""Medicina general integral"", ""Medicina interna"", ""Medicina ocupacional"", ""Neurología"", ""Neurología pediátrica"", ""Neurocirugía"", ""Neumología"", ""Oftalmología"", ""Odontología"", ""Otorrinolaringología adultos y pediátrica"", ""Pediatría"", ""Psicología"", ""Traumatología"", ""Urología"", ""Laboratorio"", ""Ecografías"", ""Rayos X""]"
Centro Médico Biotest (Valle de Los Chillos),Valle de los Chillos (Pichincha),"Av. General Enríquez N.3951 Edificio Eguez Muñoz, Planta Alta, Oficina 3 Sector El Triángulo",09 9 635 3007,info@biotest.ec,"[""Salud ocupacional"", ""Laboratorio""]"
Centro Médico Vida - Samborondón,"Samborondón, Guayas","Avalon Plaza, 2do piso. Pasando el CC. El Dorado",(+593) 3814 250 / 099 507 8152,admingye@cendiavia.com,"[""Medicina general"", ""Especialidades múltiples""]"
Wecare Plaza Tía Central,"Samborondón, Guayas","C.C. Plaza Tía Central, Locales 26 y 27, KM 11.5 Vía Samborondón",04-462-1494 / 095-894-2342,contacto@centromedicowecare.com,"[""Medicina general"", ""Especialidades múltiples""]"
Wecare Plaza Tía La Joya,"Daule, Guayas","CC Plaza Tía La Joya, Locales 26 y 27, Urb. La Joya",04-731180 / 098-449-4603,contacto@centromedicowecare.com,"[""Medicina general"", ""Especialidades múltiples""]"
Medilink Urdesa,"Guayaquil, Guayas","Av. Circunvalación Sur 724, entre Ficus y Guayacanes, sector Urdesa central",(04) 550 5052 / 093183975,,"[""Medicina general"", ""Consultas de especialidades"", ""Laboratorio"", ""Imagenología""]"
Medilink Sur,"Guayaquil, Guayas",6 de Marzo 3402 y Camilo Destruge,(04) 550 5052 / 093183975,,"[""Medicina general"", ""Consultas de especialidades"", ""Laboratorio"", ""Imagenología""]"
Medilink Alborada,"Guayaquil, Guayas","Av. Rodolfo Baquerizo Nazur, C.C. Gran Albocentro, Local 2 (Alborada)",(04) 550 5052 / 093183975,,"[""Medicina general"", ""Consultas de especialidades"", ""Laboratorio"", ""Imagenología""]"
Médikal Norte,"Guayaquil (Garzota), Guayas",Av. Guillermo Pareja Rolando (Av. principal la Garzota) C.C. Garzocentro 2000 Local 1001-A,(04) 3703170 / 0958749833,,"[""Medicina general"", ""Especialidades múltiples"", ""Laboratorio"", ""Imagenología""]"
Mediglobal Palmora Plaza,"Daule, Guayas","CC Palmora Plaza, Av. León Febres Cordero S/N (A 1 km de Urb. La Joya)",(04) 373 1395,,"[""Medicina general"", ""Consultas de especialidades"", ""Laboratorio"", ""Imagenología""]"
Mediglobal Kennedy,"Guayaquil (Kennedy Vieja), Guayas","Cdla. Kennedy Vieja, Calle 8va. No. 111 y Ave. San Jorge",(04) 373 1395,,"[""Medicina general"", ""Consultas de especialidades"", ""Laboratorio"", ""Imagenología""]"
Hospital San Marcos,"Guayaquil (Vernaza Norte), Guayas","Cdla. Vernaza Norte, Mz. 22 Solar 5 Av. Guillermo Pareja (atrás del Mall del Sol)",0986316334 / 0968155329,,"[""Hospitalización"", ""Cirugía"", ""Consultas de especialidad"", ""Emergencias""]"
Hospital Aprofe,"Guayaquil, Guayas",Letamendi 602 y Noguchi,(04) 240 0888 ext 7002/4218,,"[""Hospitalización"", ""Cirugía"", ""Consultas de especialidad"", ""Emergencias""]"
Ecuamerican,"Guayaquil, Guayas",Av. Francisco Boloña 107 y Av. Kennedy (junto a Almacenes Boyacá),(04) 269-1984 / 0994013158,,"[""Especialidades médicas"", ""Medicina general"", ""Laboratorio"", ""Imagenología""]"
Comasome Cia. Ltda.,"Guayaquil (Ceibos Norte), Guayas",Ceibos Norte Av. 2da Calle 9na / Av. San Jorge – #21,(04) 229 2926 / (04) 6017385,,"[""Hospitalización"", ""Cirugía"", ""Consultas de especialidad"", ""Emergencias""]"
Relif – Dystrade S.A.,"Guayaquil (Kennedy), Guayas","Cdla. Kennedy, Calle 9 Oeste No. 109 Of. No.5",(04) 600 9254 / (04) 2395393,,"[""Hospitalización"", ""Consultas de especialidad"", ""Cirugía""]"
Clínica Politzer,"Guayaquil (Albatros), Guayas",Cdla. Albatros Calle Miguel H. Alcivar y Flamingo Mz. 6 – Villa 15,(04) 229 5303 / (04) 228 5208,,"[""Hospitalización"", ""Consultas de especialidad"", ""Cirugía""]"
Clínica Alborada,"Guayaquil (Alborada), Guayas","Mz. 737, Solar 5, 6to Retorno 17 N-E Quilanga",(04) 227 3400,,"[""Cirugía ambulatoria"", ""Hospital del día""]"
Centro Oftalmológico Varas Samaniego,"Guayaquil, Guayas",Omni Hospital – Torre Médica 1 Piso 2,(04) 210 9155 / 0980092822,,"[""Oftalmología"", ""Cirugía ocular""]"
Centro Médico Familiar Kennedy,"Guayaquil (Alborada), Guayas","Cdla. Alborada 12ava. Etapa, edificio Clínica Kennedy Alborada, planta baja",0979856487 / 1800-KENNEDY (5366339),,"[""Medicina general"", ""Cirugía ambulatoria"", ""Procedimientos programados""]"
Centro Dermatológico Ollague,"Guayaquil (Kennedy Norte), Guayas",Kennedy Norte Calle Vicente Norero de Lucca y Ángel Barrera,(04) 268-1357 / (04) 268-1388 / (04) 268-2475,,"[""Dermatología""]"
CITEUCORP – Centro de Investigación y Tratamiento de Enfermedades Urológicas,"Guayaquil (Kennedy), Guayas",Cdla. Kennedy Calle San Jorge 805 Sección – Alfa Ofic 5,(04) 229 6744,,"[""Urología""]"
Omnilab – Centro de Especialidades Omni Torre Médica,"Guayaquil, Guayas","Torre Médica 2 – Planta baja local 2, Calle Abel Romeo Castillo y Av. Juan Tanca Marengo (junto a emergencias Omni Hospital)",(04) 210 9000,,"[""Laboratorio clínico"", ""Imagenología""]"
Omni Sede Matriz – Centro de Especialidades,"Guayaquil, Guayas",Av. Abel Romeo Castillo y Juan Tanca Marengo,(04) 210 9000,,"[""Consultas de especialidad"", ""Medicina general"", ""Laboratorio"", ""Imagenología""]"
Omni Hospital La Aurora – Centro de Especialidades,"La Aurora (Samborondón), Guayas","Av. León Febres Cordero, Parroquia La Aurora (Avalon Plaza 3) junto al Dorado",(04) 210 9000 ext 7709/7710 / 0959620617,,"[""Hospitalización"", ""Cirugía"", ""Consultas de especialidad"", ""Emergencias""]"
Cambarú S.A.,"Guayaquil, Guayas",Av. Abel Romeo Castillo S/N y Av. Juan Tanca Marengo,(04) 210 9098 / (04) 210 9097,,"[""Consultas de especialidad"", ""Laboratorio"", ""Imagenología""]"
Biodimed,"Guayaquil, Guayas",Av. Jorge Pérez Concha 411 y Ébanos,1800 070707 / 0984513243 / (04) 3727100,,"[""Laboratorio"", ""Imagenología"", ""Hospitalización""]"
ArthroScorp S.A.,"Guayaquil (Ciudad Colón), Guayas","Parque Empresarial Ciudad Colón, Edif. Pacific Plaza Of. 004-005",(04) 213 6421,,"[""Traumatología"", ""Ortopedia"", ""Cirugía""]"
Life Health Clinic,"Samborondón, Guayas","C.C. Los Arcos Km 1.5 Vía Samborondón, Edificio Del Portal Of. 204-206",0959039895,,"[""Medicina general"", ""Consultas de especialidades"", ""Laboratorio"", ""Imagenología""]"
